sessionid,tt_s,distance_m,slope_pct,speed_kmph,power_w,heartrate_bpm,frequency_ppm,cycle,thrust_left_ms,thrust_right_ms,impulse_left_ns,impulse_right_ns,force_meanl_n,force_meanr_n,f_tot_mean_n,treadmill_force_n,altitude_m,latitude_deg,longitude_deg,usernote = BIA24-19NR
2484,1726837032,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,11.0,0.0,366.0,63.19026477634907,14.657665332779288,
2484,1726837033,0.18,0.0,0.7,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,19.0,34.0,0.0,366.0,63.19026494398713,14.657665332779288,
2484,1726837034,0.42,0.0,0.7,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,26.0,48.0,0.0,366.0,63.19026687182486,14.657665332779288,
2484,1726837035,0.65,0.0,0.7,5.0,0.0,92.0,2.0,260.0,260.0,21.3,22.2,21.0,23.0,44.0,0.0,365.0,63.190269051119685,14.657665332779288,
2484,1726837036,0.89,0.0,1.0,5.0,0.0,0.0,4.0,170.0,170.0,12.2,12.2,13.0,14.0,27.0,0.0,365.0,63.19027114659548,14.657665332779288,
2484,1726837037,1.13,0.0,1.4,2.0,0.0,0.0,4.0,170.0,170.0,12.2,12.2,4.0,5.0,9.0,0.0,365.0,63.19027324207127,14.657665668055415,
2484,1726837038,1.36,0.0,1.7,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,365.0,63.190275421366096,14.657665668055415,
2484,1726837039,1.6,0.0,2.1,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365.0,63.190275421366096,14.657665668055415,
2484,1726837040,1.75,0.0,1.8,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365.0,63.190275421366096,14.657666087150574,
2484,1726837041,1.9,0.0,1.4,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365.0,63.190276343375444,14.657665332779288,
2484,1726837042,2.05,0.0,1.1,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365.0,63.190276343375444,14.657664075493813,
2484,1726837043,2.36,0.0,2.5,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365.0,63.190276343375444,14.657663069665432,
