sessionid,tt_s,distance_m,slope_pct,speed_kmph,power_w,heartrate_bpm,frequency_ppm,cycle,thrust_left_ms,thrust_right_ms,impulse_left_ns,impulse_right_ns,force_meanl_n,force_meanr_n,f_tot_mean_n,treadmill_force_n,altitude_m,latitude_deg,longitude_deg,usernote = BIA24-15WR
2419,1725629423,0.0,0.0,1.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,0.0,374.0,63.19027374498546,14.657798521220684,
2419,1725629424,1.04,0.0,1.1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,16.0,0.0,376.0,63.19028137251735,14.657798521220684,
2419,1725629425,1.47,0.0,1.2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,15.0,25.0,0.0,376.0,63.1902838870883,14.657798521220684,
2419,1725629426,1.9,0.0,1.2,3.0,0.0,120.0,2.0,190.0,220.0,10.5,11.7,10.0,14.0,24.0,0.0,376.0,63.19028648547828,14.657792150974274,
2419,1725629427,2.32,0.0,1.2,3.0,0.0,0.0,2.0,220.0,220.0,11.4,11.4,6.0,8.0,14.0,0.0,376.0,63.19028900004923,14.657785864546895,
2419,1725629428,2.75,0.0,1.3,1.0,0.0,0.0,2.0,220.0,220.0,11.4,11.4,2.0,3.0,5.0,0.0,376.0,63.19029159843922,14.657779494300485,
2419,1725629429,3.18,0.0,1.3,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.0,63.19029411301017,14.657773124054074,
2419,1725629430,3.6,0.0,1.4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.0,63.19029671140015,14.657766753807664,
2419,1725629431,4.03,0.0,1.4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.0,63.1902992259711,14.657760467380285,
2419,1725629432,4.46,0.0,1.4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.0,63.190301824361086,14.657754097133875,
2419,1725629433,4.89,0.0,1.5,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.0,63.190302327275276,14.657747726887465,
