sessionid,tt_s,distance_m,slope_pct,speed_kmph,power_w,heartrate_bpm,frequency_ppm,cycle,thrust_left_ms,thrust_right_ms,impulse_left_ns,impulse_right_ns,force_meanl_n,force_meanr_n,f_tot_mean_n,treadmill_force_n,altitude_m,latitude_deg,longitude_deg,usernote = BIA24-4WR
2131,1717853097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2131,1717853098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2131,1717853099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,
2131,1717853100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,10.0,0.0,0.0,0.0,0.0,
2131,1717853101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,17.0,30.0,0.0,0.0,0.0,0.0,
2131,1717853102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,28.0,53.0,0.0,0.0,0.0,0.0,
2131,1717853103,0.0,0.0,0.0,0.0,0.0,67.0,2.0,360.0,400.0,36.4,35.5,29.0,30.0,59.0,0.0,0.0,0.0,0.0,
2131,1717853104,0.0,0.0,0.0,0.0,0.0,32.0,2.0,370.0,210.0,29.8,11.2,22.0,20.0,42.0,0.0,0.0,0.0,0.0,
2131,1717853105,0.0,0.0,0.0,0.0,0.0,0.0,3.0,200.0,210.0,11.9,11.2,11.0,8.0,19.0,0.0,0.0,0.0,0.0,
2131,1717853106,0.0,0.0,0.0,0.0,0.0,0.0,3.0,200.0,0.0,11.9,0.0,3.0,2.0,5.0,0.0,0.0,0.0,0.0,
2131,1717853107,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2131,1717853108,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
