sessionid,tt_s,distance_m,slope_pct,speed_kmph,power_w,heartrate_bpm,frequency_ppm,cycle,thrust_left_ms,thrust_right_ms,impulse_left_ns,impulse_right_ns,force_meanl_n,force_meanr_n,f_tot_mean_n,treadmill_force_n,altitude_m,latitude_deg,longitude_deg,usernote = BIA24-5WR
2127,1717749241,0.0,0.0,2.9,0.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.0,63.19029847159982,14.657635744661093,
2127,1717749242,0.99,0.0,2.9,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.0,63.19030744023621,14.657635912299156,
2127,1717749243,1.11,0.0,2.8,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,373.0,63.19030827842653,14.657637337222695,
2127,1717749244,1.23,0.0,2.6,0.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,373.0,63.190309116616845,14.657638678327203,
2127,1717749245,1.35,0.0,2.5,0.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,373.0,63.19030995480716,14.657640103250742,
2127,1717749246,1.47,0.0,2.3,0.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,373.0,63.19031087681651,14.65764144435525,
2127,1717749247,1.58,0.0,2.2,1.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,373.0,63.19031171500683,14.657642869278789,
2127,1717749248,1.7,0.0,2.1,4.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,12.0,0.0,373.0,63.190312553197145,14.657644210383296,
2127,1717749249,1.82,0.0,1.9,11.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,34.0,0.0,373.0,63.190313475206494,14.657645635306835,
2127,1717749250,1.94,0.0,1.8,11.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,29.0,58.0,0.0,373.0,63.19031431339681,14.657646976411343,
