sessionid,tt_s,distance_m,slope_pct,speed_kmph,power_w,heartrate_bpm,frequency_ppm,cycle,thrust_left_ms,thrust_right_ms,impulse_left_ns,impulse_right_ns,force_meanl_n,force_meanr_n,f_tot_mean_n,treadmill_force_n,altitude_m,latitude_deg,longitude_deg,usernote = Biathlon 24
2082,1717486109,0.0,0.0,0.8,0.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,368.0,63.19028288125992,14.657696764916182,
2082,1717486110,0.05,0.0,0.8,0.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,368.0,63.19028288125992,14.657696764916182,
2082,1717486111,0.09,0.0,0.8,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,368.0,63.19028288125992,14.657696764916182,
2082,1717486112,0.14,0.0,0.8,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,368.0,63.19028254598379,14.657696597278118,
2082,1717486113,0.18,0.0,0.9,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,368.0,63.19028212688863,14.657696429640055,
2082,1717486114,0.23,0.0,0.9,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,368.0,63.190281707793474,14.657696262001991,
2082,1717486115,0.27,0.0,0.9,0.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,368.0,63.190281288698316,14.657696094363928,
2082,1717486116,0.32,0.0,0.9,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,368.0,63.19028086960316,14.657696010544896,
2082,1717486117,0.36,0.0,0.9,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,368.0,63.19028053432703,14.657695842906833,
2082,1717486118,0.41,0.0,0.9,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,368.0,63.19028011523187,14.65769567526877,
2082,1717486119,0.46,0.0,1.0,0.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,368.0,63.19027969613671,14.657695507630706,
2082,1717486120,0.5,0.0,1.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,368.0,63.190279277041554,14.657695339992642,
2082,1717486121,0.55,0.0,1.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,368.0,63.190278857946396,14.657695172354579,
2082,1717486122,0.59,0.0,1.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,368.0,63.19027852267027,14.657695004716516,
2082,1717486123,0.61,0.0,1.1,0.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,368.0,63.19027852267027,14.657694669440389,
2082,1717486124,0.62,0.0,1.1,0.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,368.0,63.19027852267027,14.657694417983294,
2082,1717486125,0.64,0.0,1.2,0.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,368.0,63.19027852267027,14.657694082707167,
2082,1717486126,0.65,0.0,1.2,0.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,368.0,63.1902786064893,14.657693831250072,
2082,1717486127,0.67,0.0,1.3,0.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,63.1902786064893,14.657693495973945,
2082,1717486128,0.68,0.0,1.3,0.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,63.1902786064893,14.657693160697818,
